id,custId,txId,opened,status,priority,fraudType,fraudAmt,analyst,resolution,recoveredAmt,sla
CASE-0001,CUST-0436,TX-004476,2/9/2026,Open,Critical,Phishing,595.91,Ali R.,Pending,0,2 days
CASE-0002,CUST-0050,TX-009439,3/7/2026,Closed,Low,Money Laundering,2338.57,Noor F.,Fraud Confirmed,321.54,5 days
CASE-0003,CUST-0983,TX-007471,4/19/2026,Investigating,Low,Card Fraud,5177.61,Sara K.,Pending,0,2 days
CASE-0004,CUST-0886,TX-001826,3/15/2026,Open,Low,Phishing,5941.86,Sara K.,Pending,0,OVERDUE
CASE-0005,CUST-0004,TX-001397,3/7/2026,Escalated,Low,Money Laundering,7365.26,Ahmed M.,Pending,0,5 days
CASE-0006,CUST-0093,TX-001504,3/1/2026,Escalated,Low,Phishing,7586.17,Ali R.,Pending,0,5 days
CASE-0007,CUST-0952,TX-004204,3/13/2026,Closed,High,Phishing,9690.21,Noor F.,Fraud Confirmed,7165.59,2 days
CASE-0008,CUST-0027,TX-009529,2/24/2026,Investigating,High,Card Fraud,9420.9,Ahmed M.,Pending,0,2 days
CASE-0009,CUST-0889,TX-005187,1/28/2026,Investigating,High,Phishing,4575.53,Sara K.,Pending,0,2 days
CASE-0010,CUST-0941,TX-009373,2/19/2026,Escalated,High,Account Takeover,1123.76,Ali R.,Pending,0,2 days
CASE-0011,CUST-0086,TX-003297,4/21/2026,Closed,High,Account Takeover,2427.52,Ahmed M.,Fraud Confirmed,90.71,2 days
CASE-0012,CUST-0350,TX-003794,3/16/2026,Investigating,Low,Account Takeover,2879.33,Ali R.,Pending,0,5 days
CASE-0013,CUST-0374,TX-004263,4/3/2026,Investigating,Low,Synthetic ID,6722.96,Noor F.,Pending,0,12 hrs
CASE-0014,CUST-0330,TX-005151,4/16/2026,Escalated,Critical,Money Laundering,5094.37,Fatima S.,Pending,0,12 hrs
CASE-0015,CUST-0694,TX-002623,4/14/2026,Open,Medium,Money Laundering,4792.64,Sara K.,Pending,0,2 days
CASE-0016,CUST-0264,TX-009249,4/6/2026,Investigating,High,Card Fraud,3826.93,Ahmed M.,Pending,0,2 days
CASE-0017,CUST-0110,TX-005535,3/20/2026,Investigating,Low,Synthetic ID,8120.26,Ali R.,Pending,0,12 hrs
CASE-0018,CUST-0895,TX-003252,3/29/2026,Open,Critical,Account Takeover,6839.91,Ali R.,Pending,0,12 hrs
CASE-0019,CUST-0199,TX-008132,4/6/2026,Investigating,High,Account Takeover,3126.52,Ali R.,Pending,0,2 days
CASE-0020,CUST-0609,TX-004753,2/12/2026,Open,Medium,Card Fraud,7748.15,Noor F.,Pending,0,12 hrs
CASE-0021,CUST-0982,TX-005542,3/29/2026,Open,Medium,Money Laundering,3492.38,Fatima S.,Pending,0,5 days
CASE-0022,CUST-0741,TX-004096,3/22/2026,Closed,Low,Account Takeover,349.04,Sara K.,Fraud Confirmed,34.63,OVERDUE
CASE-0023,CUST-0071,TX-007051,3/14/2026,Investigating,Critical,Account Takeover,6965.83,Fatima S.,Pending,0,5 days
CASE-0024,CUST-0016,TX-002394,2/9/2026,Closed,Low,Card Fraud,1100.28,Sara K.,Fraud Confirmed,447.45,OVERDUE
CASE-0025,CUST-0963,TX-005019,2/1/2026,Escalated,Critical,Synthetic ID,1026.58,Ahmed M.,Pending,0,2 days
CASE-0026,CUST-0116,TX-004663,2/20/2026,Closed,Low,Synthetic ID,6166.2,Noor F.,Fraud Confirmed,3110.42,OVERDUE
CASE-0027,CUST-0994,TX-006638,2/28/2026,Closed,Critical,Account Takeover,3305.31,Fatima S.,Fraud Confirmed,644.73,5 days
CASE-0028,CUST-0390,TX-001237,2/27/2026,Open,Medium,Account Takeover,4672.49,Noor F.,Pending,0,2 days
CASE-0029,CUST-0896,TX-005249,2/22/2026,Investigating,Critical,Phishing,4120.88,Ahmed M.,Pending,0,12 hrs
CASE-0030,CUST-0309,TX-001421,4/9/2026,Closed,Medium,Card Fraud,1270.59,Fatima S.,Fraud Confirmed,479.87,12 hrs
CASE-0031,CUST-0635,TX-000869,2/19/2026,Investigating,Low,Account Takeover,4967.4,Ahmed M.,Pending,0,2 days
CASE-0032,CUST-0845,TX-002618,1/26/2026,Investigating,Medium,Synthetic ID,10188.35,Fatima S.,Pending,0,2 days
CASE-0033,CUST-0135,TX-005807,3/9/2026,Closed,Medium,Phishing,7538.3,Fatima S.,Fraud Confirmed,4067.19,5 days
CASE-0034,CUST-0995,TX-004813,3/12/2026,Investigating,Low,Phishing,7331.19,Fatima S.,Pending,0,5 days
CASE-0035,CUST-0057,TX-005132,4/21/2026,Closed,Critical,Synthetic ID,7996.71,Sara K.,Fraud Confirmed,3355.02,2 days
CASE-0036,CUST-0065,TX-007735,3/14/2026,Closed,High,Account Takeover,1158.84,Sara K.,Fraud Confirmed,593.55,2 days
CASE-0037,CUST-0876,TX-006519,1/31/2026,Escalated,Critical,Phishing,322.31,Ahmed M.,Pending,0,2 days
CASE-0038,CUST-0963,TX-006011,3/24/2026,Open,High,Phishing,5343.39,Fatima S.,Pending,0,OVERDUE
CASE-0039,CUST-0881,TX-002648,3/29/2026,Open,Critical,Card Fraud,5622.38,Ahmed M.,Pending,0,5 days
CASE-0040,CUST-0426,TX-007827,3/18/2026,Closed,Low,Money Laundering,8482,Fatima S.,Fraud Confirmed,2687.67,12 hrs
CASE-0041,CUST-0747,TX-001128,2/11/2026,Closed,High,Card Fraud,6308.94,Fatima S.,Fraud Confirmed,1048.23,12 hrs
